episode,reward,avg_reward,step_count,reached_target,distance_to_target
390,-3.7837473117098335,-8.674323384341353,250,False,0.4298433
391,-4.318523938555567,-8.097974378691202,250,False,0.37746435
392,-5.54935530198931,-7.232453892752455,250,False,0.5124448
393,-7.5717280330699035,-7.193957100766168,250,False,1.2927148
394,-7.2206586783382205,-6.930381333928262,250,False,1.2948734
395,-228.95759031305397,-28.471284138078442,250,False,62.09435
396,-7.361752285670885,-28.800605811581107,250,False,0.5255885
397,-10.730035150037892,-28.765033417222828,250,False,0.86208457
398,-3.4249016975421753,-28.096051125143788,250,False,0.7763201
399,-15.603611792205397,-29.45219045021732,250,False,0.3921593
400,-4.254925626927901,-29.499308281739125,250,False,0.70295775
401,-6.059063464468316,-29.67336223433039,250,False,1.3183854
402,-20.694128164298533,-31.18783952056132,250,False,1.6536973
403,-3.8120476173729294,-30.811871478991623,250,False,0.67283326
404,-19.52824648732912,-32.042630259890714,250,False,1.100249
405,-13.12995407364036,-10.45986663594935,250,False,2.274922
406,-9.386309560463085,-10.66232236342857,250,False,0.74334216
407,-15.214055523702031,-11.110724400794984,250,False,1.3096629
408,-11.38108965744952,-11.90634319678572,250,False,0.4354315
409,-7.033954594047889,-11.049377476969969,250,False,0.68137896
410,-9.74346541165882,-11.59823145544306,250,False,0.9031073
411,-11.277763756058977,-12.120101484602126,250,False,0.96890914
412,-10.76821350864449,-11.127510019036722,250,False,0.7945324
413,-9.712275432062828,-11.717532800505712,250,False,0.41511223
414,-1.3599458038985701,-9.900702732162657,250,False,0.32155907
415,-3.0486757047643973,-8.89257489527506,250,False,0.54388595
416,-4.473167197110691,-8.401260658939822,250,False,0.6991007
417,-7.690721791058153,-7.648927285675436,250,False,1.4760714
418,-10.076940557035025,-7.518512375633985,250,False,0.96483094
419,-5.5183172810534735,-7.366948644334542,250,False,0.6887409
420,-7.2820852015543,-7.12081062332409,250,False,0.6831588
421,-17.344106217692147,-7.7274448694874085,250,False,2.0179985
422,-3.145614472774212,-6.96518496590038,250,False,0.50133866
423,-9.25972343183606,-6.919929765877702,250,False,0.9392386
424,1.9019392822918673,-6.593741257258661,248,True,0.1897398
425,-21.13154484983267,-8.402028171765485,250,False,1.5538987
426,-8.423356453512842,-8.7970470974057,250,False,0.7624894
427,-10.08463570068697,-9.036438488368583,250,False,1.2669611
428,3.5558192993578763,-7.673162502729293,84,True,0.16332142
429,-10.082150314767718,-8.129545806100717,250,False,0.9477138
430,-5.9236010964185715,-7.9936973955871435,250,False,0.7837885
431,-8.089580461865369,-7.068244820004468,250,False,0.7952743
432,-8.60433284310674,-7.614116657037721,250,False,0.9416385
433,-3.247720718755308,-7.0129163857296435,250,False,0.66197103
434,-11.142532085433787,-8.317363522502209,250,False,0.9662294
435,-10.216844848995844,-7.225893522418526,250,False,0.843335
436,-4.188746813587738,-6.802432558426017,250,False,0.7811722
437,-12.540858028121917,-7.048054791169513,250,False,1.477522
438,-2.347668644603758,-7.6384035855656744,250,False,0.5730184
439,-8.53709032695376,-7.483897586784279,250,False,0.5817185
440,-3.236862296641834,-7.215223706806604,250,False,0.35106513
441,-4.2756026269398975,-6.833825923314059,250,False,0.8014837
442,-8.778003602214682,-6.851192999224852,250,False,0.5790402
443,-5.984934201365691,-7.124914347485891,250,False,0.5111458
444,-5.721836537866562,-6.582844792729167,250,False,0.90617615
445,-7.539266983988922,-6.3150870062284765,250,False,0.76886725
446,-7.034411479464351,-6.599653472816138,250,False,0.98572224
447,-5.072106602529022,-5.852778330256848,250,False,0.9956403
448,-10.39835079875214,-6.657846545671686,250,False,1.0558647
449,-8.496382817224958,-6.653775794698807,250,False,1.0408045
450,-2.8232234341975917,-6.612411908454381,250,False,0.3040715
451,-1.947183833974215,-6.379570029157814,250,False,0.42762035
452,-1.7995802161033727,-5.6817276905466825,250,False,0.4399563
453,2.7300073985769027,-4.810233530552423,100,True,0.07216235
454,-7.145465276838725,-4.95259640444964,250,False,0.57481086
455,-11.89220717555297,-5.387890423606045,250,False,0.8607648
456,-11.521879647481779,-5.8366372404077875,250,False,0.4788128
457,-13.819234918526215,-6.711350072007507,250,False,1.2913201
458,-7.091239959685825,-6.380638988100875,250,False,0.92101973
459,-13.334319062322345,-6.864432612610614,250,False,1.1828719
460,-9.331908594015,-7.515301128592355,250,False,0.6714675
461,-13.086274603707635,-8.629210205565697,250,False,0.9855785
462,-10.724241795619822,-9.52167636351734,250,False,0.9101365
463,-3.002981680515048,-10.094975271426536,250,False,0.46862042
464,-3.5914782642343774,-9.739576570166102,250,False,0.5049979
465,-3.529908010361808,-8.903346653646986,250,False,0.5801765
